title,id,url
"Smart TV LED 65"" UHD 4K Samsung 65TU8000 Crystal UHD, Borda Infinita, Alexa Built In, Visual Livre de Cabos, Modo Ambiente Foto, Controle Único - 2020",14874123,https://www.extra.com.br/smart-tv-led-65-uhd-4k-samsung-65tu8000-crystal-uhd-borda-infinita-alexa-built-in-visual-livre-de-cabos-modo-ambiente-foto-controle-unico-2020/p/55006496
"Smart TV LED 43"" Full HD Samsung T5300 com HDR, Sistema Operacional Tizen, Wi-Fi, Espelhamento de Tela, Dolby Digital Plus, HDMI e USB - 2020",14874114,https://www.extra.com.br/smart-tv-led-43-full-hd-samsung-t5300-com-hdr-sistema-operacional-tizen-wi-fi-espelhamento-de-tela-dolby-digital-plus-hdmi-e-usb-2020/p/55006487
"Smart TV LED 50"" 4K Philips 50PUG6654/78 com HDR, Dolby Vision, Dolby Atmos, Wi-Fi, Quad Core, Bluetooth, Entradas HDMI e USB",13415868,https://www.extra.com.br/smart-tv-led-50-4k-philips-50pug6654-78-com-hdr-dolby-vision-dolby-atmos-wi-fi-quad-core-bluetooth-entradas-hdmi-e-usb/p/55003400
"Smart TV LED 55"" UHD 4K Samsung 55TU8000 Crystal UHD, Borda Infinita, Alexa Built In, Visual Livre de Cabos, Modo Ambiente Foto, Controle Único - 2020",14874122,https://www.extra.com.br/smart-tv-led-55-uhd-4k-samsung-55tu8000-crystal-uhd-borda-infinita-alexa-built-in-visual-livre-de-cabos-modo-ambiente-foto-controle-unico-2020/p/55006495
"AOC Roku TV Smart TV LED 43” Full HD 43S5195/78 com Wi-fi, Controle Remoto com Atalhos, Roku Mobile, Miracast, Entradas HDMI e USB",13338454,https://www.extra.com.br/aoc-roku-tv-smart-tv-led-43-full-hd-43s5195-78-com-wi-fi-controle-remoto-com-atalhos-roku-mobile-miracast-entradas-hdmi-e-usb/p/55002769
"Smart TV LED 75"" UHD 4K LG 75UN8000PSB Wi-Fi, Bluetooth, HDR, Inteligência Artificial ThinQ AI, Google Assistente, Alexa, Controle Smart Magic - 2020",15377392,https://www.extra.com.br/smart-tv-led-75-uhd-4k-lg-75un8000psb-wi-fi-bluetooth-hdr-inteligencia-artificial-thinq-ai-google-assistente-alexa-controle-smart-magic-2020/p/55007677
"Smart TV LED 43"" Full HD LG 43LM6300PSB ThinQ AI Inteligência Artificial com IoT, Virtual Surround Sound, WebOS 4.5, HDR, Quad Core, Bluetooth e HDMI",11893244,https://www.extra.com.br/smart-tv-led-43-full-hd-lg-43lm6300psb-thinq-ai-inteligencia-artificial-com-iot-virtual-surround-sound-webos-4-5-hdr-quad-core-bluetooth-e-hdmi/p/50000473
"Smart TV LED 43"" Full HD TCL 43S6500FS Android, Controle Remoto com Comando de Voz, Google Assistant, HDR, Chromecast Integrado, Bluetooth e HDMI",11991567,https://www.extra.com.br/smart-tv-led-43-full-hd-tcl-43s6500fs-android-controle-remoto-com-comando-de-voz-google-assistant-hdr-chromecast-integrado-bluetooth-e-hdmi/p/50001090
"Smart TV LED 50"" UHD 4K LG 50UN8000PSD Wi-Fi, Bluetooth, HDR, Inteligência Artificial ThinQ AI, Google Assistente, Alexa, Controle Smart Magic - 2020",15377393,https://www.extra.com.br/smart-tv-led-50-uhd-4k-lg-50un8000psd-wi-fi-bluetooth-hdr-inteligencia-artificial-thinq-ai-google-assistente-alexa-controle-smart-magic-2020/p/55007678
"Smart TV LED 43"" UHD 4K LG 43UN7300PSC Wi-Fi, Bluetooth, HDR, Inteligência Artificial ThinQ AI, Google Assistente, Alexa - 2020",15377399,https://www.extra.com.br/smart-tv-led-43-uhd-4k-lg-43un7300psc-wi-fi-bluetooth-hdr-inteligencia-artificial-thinq-ai-google-assistente-alexa-2020/p/55007684
"Smart TV LED 55"" UHD 4K LG 55UN7310PSC Wi-Fi, Bluetooth, HDR, Inteligência Artificial ThinQ AI, Google Assistente, Alexa, Controle Smart Magic - 2020",15377397,https://www.extra.com.br/smart-tv-led-55-uhd-4k-lg-55un7310psc-wi-fi-bluetooth-hdr-inteligencia-artificial-thinq-ai-google-assistente-alexa-controle-smart-magic-2020/p/55007682
"Smart TV LED 58"" UHD 4K Samsung 58TU7000 Crystal UHD, HDR, Borda Infinita, Controle Remoto Único, Bluetooth, Visual Livre de Cabos - 2020",14874118,https://www.extra.com.br/smart-tv-led-58-uhd-4k-samsung-58tu7000-crystal-uhd-hdr-borda-infinita-controle-remoto-unico-bluetooth-visual-livre-de-cabos-2020/p/55006491
"Smart TV LED 32"" HD LG 32LM625BPSB ThinQ AI Inteligência Artificial com IoT, Virtual Surround Sound, WebOS 4.5, HDR, Quad Core, Bluetooth, HDMI e USB",11893243,https://www.extra.com.br/smart-tv-led-32-hd-lg-32lm625bpsb-thinq-ai-inteligencia-artificial-com-iot-virtual-surround-sound-webos-4-5-hdr-quad-core-bluetooth-hdmi-e-usb/p/50000472
"Smart TV LED 75"" UHD 4K Samsung 75TU8000 Crystal UHD, Borda Infinita, Alexa Built In, Visual Livre de Cabos, Modo Ambiente Foto, Controle Único - 2020",14874124,https://www.extra.com.br/smart-tv-led-75-uhd-4k-samsung-75tu8000-crystal-uhd-borda-infinita-alexa-built-in-visual-livre-de-cabos-modo-ambiente-foto-controle-unico-2020/p/55006497
"Multifuncional HP DeskJet Ink Advantage 2776 Wireless - Impressora, Copiadora, Scanner",15507256,https://www.extra.com.br/multifuncional-hp-deskjet-ink-advantage-2776-wireless-impressora-copiadora-scanner/p/55007913
"Multifuncional Tanque de Tinta Epson EcoTank L3110 - Impressora, Copiadora, Scanner",10738786,https://www.extra.com.br/multifuncional-tanque-de-tinta-epson-ecotank-l3110-impressora-copiadora-scanner/p/14328339
"Multifuncional Tanque de Tinta Epson EcoTank L3150 Wireless - Impressora, Copiadora, Scanner",10737863,https://www.extra.com.br/multifuncional-tanque-de-tinta-epson-ecotank-l3150-wireless-impressora-copiadora-scanner/p/14327416
"Multifuncional Tanque de Tinta Epson EcoTank L4160 Wireless - Impressora, Copiadora, Scanner",9304115,https://www.extra.com.br/multifuncional-tanque-de-tinta-epson-ecotank-l4160-wireless-impressora-copiadora-scanner/p/12876982
"Multifuncional HP DeskJet Ink Advantage 2376 - Impressora, Copiadora e Scanner",16289753,https://www.extra.com.br/multifuncional-hp-deskjet-ink-advantage-2376-impressora-copiadora-e-scanner/p/55010110
"Multifuncional Tanque de Tinta Canon Mega Tank G4110 Wireless - Impressora, Copiadora, Scanner e Fax",15755910,https://www.extra.com.br/multifuncional-tanque-de-tinta-canon-mega-tank-g4110-wireless-impressora-copiadora-scanner-e-fax/p/55008613
